,Date,Open,High,Low,Close,Adj Close,Volume,Daily_return,Cum_return
1,3/5/2019,25829.07031,25877.15039,25725.63086,25806.63086,25806.63086,252260000,-0.0005042488880887499,-0.0005042488880887499
2,3/6/2019,25818.75977,25837.60938,25633.71094,25673.46094,25673.46094,256250000,-0.005160298557469282,-0.005664547445558032
3,3/7/2019,25645.44922,25645.44922,25352.55078,25473.23047,25473.23047,289140000,-0.007799122621914887,-0.01346367006747292
4,3/8/2019,25347.38086,25466.14063,25252.46094,25450.24023,25450.24023,270500000,-0.0009025254973873433,-0.014366195564860263
5,3/11/2019,25208.0,25661.63086,25208.0,25650.88086,25650.88086,309790000,0.007883643855097775,-0.006482551709762488
6,3/12/2019,25600.30078,25675.43945,25522.16992,25554.66016,25554.66016,317730000,-0.0037511655262509247,-0.010233717236013413
7,3/13/2019,25637.23047,25776.49023,25571.31055,25702.89063,25702.89063,331410000,0.005800525973420037,-0.004433191262593376
8,3/14/2019,25692.31055,25752.83984,25621.31055,25709.93945,25709.93945,302790000,0.00027424230610749705,-0.004158948956485879
9,3/15/2019,25720.96094,25927.91016,25649.69922,25848.86914,25848.86914,616910000,0.005403734624509091,0.0012447856680232114
10,3/18/2019,25801.88086,25924.76953,25785.66016,25914.09961,25914.09961,399530000,0.0025235328341331937,0.003768318502156405
11,3/19/2019,25987.86914,26109.67969,25814.91992,25887.38086,25887.38086,342250000,-0.0010310506790554086,0.0027372678231009965
12,3/20/2019,25867.78906,25929.51953,25670.63086,25745.66992,25745.66992,321980000,-0.00547413200147127,-0.0027368641783702733
13,3/21/2019,25688.43945,26009.90039,25657.7793,25962.50977,25962.50977,335250000,0.008422381343107048,0.005685517164736774
14,3/22/2019,25844.65039,25877.00977,25501.44922,25502.32031,25502.32031,386510000,-0.017725153079451356,-0.012039635914714582
15,3/25/2019,25490.7207,25603.26953,25372.25977,25516.83008,25516.83008,303120000,0.0005689588172222503,-0.011470677097492332
16,3/26/2019,25649.56055,25796.28906,25544.7793,25657.73047,25657.73047,305110000,0.005521861044583124,-0.005948816052909208
17,3/27/2019,25676.33984,25758.16992,25425.26953,25625.58984,25625.58984,270340000,-0.0012526684711096374,-0.007201484524018846
18,3/28/2019,25693.32031,25743.41016,25576.68945,25717.46094,25717.46094,237170000,0.0035851311354634673,-0.0036163533885553785
19,3/29/2019,25827.31055,25949.32031,25771.66992,25928.67969,25928.67969,300620000,0.008213048344577364,0.004596694956021986
20,4/1/2019,26075.09961,26280.90039,26071.68945,26258.41992,26258.41992,295570000,0.012717200950543248,0.017313895906565235
21,4/2/2019,26213.55078,26221.24023,26122.31055,26179.13086,26179.13086,250940000,-0.003019567066166377,0.014294328840398858
22,4/3/2019,26238.0293,26282.16992,26138.4707,26218.13086,26218.13086,271980000,0.0014897362409991024,0.01578406508139796
23,4/4/2019,26213.41992,26398.90039,26212.7793,26384.63086,26384.63086,233040000,0.0063505671281099095,0.02213463220950787
24,4/5/2019,26427.56055,26487.57031,26370.82031,26424.99023,26424.99023,229550000,0.0015296545255512552,0.023664286735059124
25,4/8/2019,26312.66992,26344.65039,26246.0293,26341.01953,26341.01953,229380000,-0.0031777003234107924,0.02048658641164833
26,4/9/2019,26243.53906,26246.33984,26103.14063,26150.58008,26150.58008,244410000,-0.00722976761712312,0.013256818794525211
27,4/10/2019,26173.71094,26209.49023,26101.24023,26157.16016,26157.16016,203130000,0.0002516227165848676,0.013508441511110079
28,4/11/2019,26188.21094,26229.88086,26062.58984,26143.05078,26143.05078,211680000,-0.0005394079446580892,0.01296903356645199
29,4/12/2019,26357.78906,26436.67969,26309.7207,26412.30078,26412.30078,369910000,0.010299104043587066,0.023268137610039055
30,4/15/2019,26407.75977,26424.84961,26316.41992,26384.76953,26384.76953,250620000,-0.001042364700800594,0.02222577290923846
31,4/16/2019,26482.18945,26530.71094,26397.18945,26452.66016,26452.66016,302340000,0.0025730992238838803,0.02479887213312234
32,4/17/2019,26468.5293,26501.01953,26391.85938,26449.53906,26449.53906,367780000,-0.00011798813356094229,0.024680883999561396
33,4/18/2019,26463.36914,26602.41992,26444.5293,26559.53906,26559.53906,332850000,0.004158862645979132,0.02883974664554053
34,4/22/2019,26510.76953,26553.05078,26458.60938,26511.05078,26511.05078,232570000,-0.0018256446352649073,0.027014102010275622
35,4/23/2019,26513.83008,26695.96094,26503.56055,26656.39063,26656.39063,311690000,0.005482236490967194,0.03249633850124282
36,4/24/2019,26652.56055,26680.58008,26582.85938,26597.05078,26597.05078,283370000,-0.002226102206546194,0.030270236294696624
37,4/25/2019,26426.36914,26536.48047,26310.2793,26462.08008,26462.08008,296730000,-0.005074649107392562,0.02519558718730406
38,4/26/2019,26454.61914,26543.56055,26392.55078,26543.33008,26543.33008,317290000,0.0030704313400294115,0.028266018527333472
39,4/29/2019,26559.86914,26602.53906,26520.75,26554.39063,26554.39063,279450000,0.00041669790364156023,0.028682716430975034
40,4/30/2019,26594.56055,26614.03906,26419.4707,26592.91016,26592.91016,340320000,0.0014505898680454018,0.030133306299020435
41,5/1/2019,26639.06055,26689.39063,26426.38086,26430.14063,26430.14063,303850000,-0.006120786669103603,0.024012519629916834
42,5/2/2019,26407.15039,26454.68945,26180.35938,26307.78906,26307.78906,287610000,-0.004629244002626502,0.019383275627290333
43,5/3/2019,26379.14063,26534.96094,26370.08984,26504.94922,26504.94922,248900000,0.007494364484614712,0.026877640111905046
44,5/6/2019,26160.61914,26476.26953,26033.94922,26438.48047,26438.48047,283020000,-0.0025077863552307534,0.024369853756674293
45,5/7/2019,26276.90039,26276.90039,25789.71094,25965.08984,25965.08984,334960000,-0.017905364513560416,0.006464489243113877
46,5/8/2019,25933.78906,26118.09961,25889.41016,25967.33008,25967.33008,276420000,8.627892350089307e-05,0.00655076816661477
47,5/9/2019,25878.84961,25884.89063,25517.39063,25828.35938,25828.35938,334760000,-0.00535175158831724,0.0011990165782975303
48,5/10/2019,25763.7207,26019.32031,25469.85938,25942.36914,25942.36914,294580000,0.004414130929596705,0.005613147507894235
49,5/13/2019,25568.06055,25568.06055,25222.50977,25324.99023,25324.99023,361240000,-0.02379809286762772,-0.018184945359733484
50,5/14/2019,25384.0293,25688.96094,25384.0293,25532.05078,25532.05078,291570000,0.008176135434584212,-0.010008809925149272
51,5/15/2019,25400.13086,25724.89063,25341.93945,25648.01953,25648.01953,270720000,0.0045420852010384415,-0.00546672472411083
52,5/16/2019,25692.14063,25957.63086,25692.14063,25862.67969,25862.67969,320960000,0.008369463371193847,0.0029027386470830167
53,5/17/2019,25719.94922,25948.74023,25657.7793,25764.0,25764.0,283760000,-0.0038155245776081,-0.0009127859305250834
54,5/20/2019,25655.31055,25751.71094,25560.55078,25679.90039,25679.90039,279560000,-0.003264229545101736,-0.004177015475626819
55,5/21/2019,25782.33984,25898.26953,25779.60938,25877.33008,25877.33008,260870000,0.007688101861831282,0.0035110863862044626
56,5/22/2019,25818.46094,25878.21094,25755.10938,25776.60938,25776.60938,241760000,-0.003892236938224271,-0.0003811505520198086
57,5/23/2019,25657.99023,25657.99023,25328.08984,25490.4707,25490.4707,316940000,-0.011100710562111952,-0.01148186111413176
58,5/24/2019,25551.07031,25670.81055,25496.19922,25585.68945,25585.68945,201370000,0.0037354645632338202,-0.007746396550897941
59,5/28/2019,25616.55078,25717.63086,25342.2793,25347.76953,25347.76953,358980000,-0.009298945039763244,-0.017045341590661185
60,5/29/2019,25231.46094,25231.46094,24938.24023,25126.41016,25126.41016,298930000,-0.008732893430248967,-0.025778235020910152
61,5/30/2019,25139.93945,25218.53906,25066.75,25169.88086,25169.88086,215240000,0.0017300800123530927,-0.02404815500855706
62,5/31/2019,25046.31055,25046.31055,24809.50977,24815.03906,24815.03906,292230000,-0.014097873644047194,-0.038146028652604254
